No.,Question,Response,Expected
1,Hai,"Halo! Welcome to SMP Santo Leo III! I'm happy to help answer your questions. Please feel free to ask me anything, and I'll do my best to provide you with a quick and comprehensive response.","Halo, apakah ada yang bisa saya bantu?"
2,Halo,"Halo, apakah ada yang bisa saya bantu?","Halo, apakah ada yang bisa saya bantu?"
3,Kamu siapa?,Saya adalah chatbot yang bertugas untuk memberikan informasi terkait SMP Santo Leo III kepada pengguna.,Saya adalah chatbot yang bertugas untuk memberikan informasi terkait SMP Santo Leo III kepada pengguna. Apakah ada yang bisa saya bantu?
4,Apa itu Sekolah Santo Leo III?,"Sekolah Santo Leo III adalah sekolah Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo, Jababeka, Cikarang Utara, Kabupaten Bekasi, Provinsi Jawa Barat. Sekolah ini terdiri dari empat jenjang pendidikan, yaitu Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah Pertama, dan Sekolah Menengah Atas.","Sekolah Santo Leo III adalah sekolah Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo Jababeka, Cikarang Utara, Kabupaten Bekasi. Santo Leo III terdiri dari empat jenjang pendidikan: Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah Pertama, dan Sekolah Menengah Atas."
5,Apa itu Sekolah Santo Leo 3?,"Sekolah Santo Leo III adalah SMP Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo, Jababeka, Cikarang Utara, Kabupaten Bekasi.","Sekolah Santo Leo III adalah sekolah Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo Jababeka, Cikarang Utara, Kabupaten Bekasi. Santo Leo III terdiri dari empat jenjang pendidikan: Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah Pertama, dan Sekolah Menengah Atas."
6,Apa itu SMP Santo Leo III?,"SMP Santo Leo III adalah sebuah sekolah Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo, Jababeka, Cikarang Utara, Kabupaten Bekasi, Provinsi Jawa Barat.","SMP Santo Leo III adalah sekolah menengah pertama (SMP) Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo Jababeka, Cikarang Utara, Kabupaten Bekasi. Santo Leo III terdiri dari empat jenjang pendidikan: Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah Pertama, dan Sekolah Menengah Atas."
7,Apa itu SMP Santo Leo 3?,"SMP Santo Leo III adalah sebuah sekolah Katolik yang terletak di Jalan Dr. Cipto Mangunkusumo, Jababeka, Cikarang Utara, Kabupaten Bekasi, Provinsi Jawa Barat.","SMP Santo Leo III adalah sekolah menengah pertama (SMP) Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo Jababeka, Cikarang Utara, Kabupaten Bekasi. Santo Leo III terdiri dari empat jenjang pendidikan: Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah Pertama, dan Sekolah Menengah Atas."
8,Berikan deskripsi Sekolah Santo Leo III,"Berikut adalah deskripsi Sekolah Santo Leo III:

Sekolah Santo Leo III adalah sebuah sekolah Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo, Jababeka, Cikarang Utara, Kabupaten Bekasi, Provinsi Jawa Barat. Sekolah ini terdiri dari empat jenjang pendidikan, yaitu Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah","Sekolah Santo Leo III adalah sekolah Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo Jababeka, Cikarang Utara, Kabupaten Bekasi. Santo Leo III terdiri dari empat jenjang pendidikan: Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah Pertama, dan Sekolah Menengah Atas."
9,Berikan deskripsi Sekolah Santo Leo 3,"SMP Santo Leo III adalah sebuah sekolah Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo, Jababeka, Cikarang Utara, Bekasi. Sekolah ini terdiri dari empat jenjang pendidikan, yaitu Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah Pertama, dan Sekolah Menengah Atas. Informasi lebih lanjut tentang SMP Santo","Sekolah Santo Leo III adalah sekolah Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo Jababeka, Cikarang Utara, Kabupaten Bekasi. Santo Leo III terdiri dari empat jenjang pendidikan: Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah Pertama, dan Sekolah Menengah Atas."
10,Berikan deskripsi SMP Santo Leo III,"SMP Santo Leo III adalah sekolah Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo, Jababeka, Cikarang Utara, Kabupaten Bekasi. Sekolah ini memiliki identitas yang jelas, termasuk NPSN 69947871, status swasta, dan yayasan sebagai pemiliknya. Santo Leo III terdiri dari empat jenjang pendidikan: Taman Kanak-Kanak,","SMP Santo Leo III adalah sekolah menengah pertama (SMP) Katolik yang terletak di Jl. Dr. Cipto Mangunkusumo Jababeka, Cikarang Utara, Kabupaten Bekasi. Santo Leo III terdiri dari empat jenjang pendidikan: Taman Kanak-Kanak, Sekolah Dasar, Sekolah Menengah Pertama, dan Sekolah Menengah Atas."
